City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,perene,-10.9492,-75.2261,26.3,87,100,1.74,PE,1729709583
221,zagora,30.3484,-5.8365,24.05,31,84,3.61,MA,1729709584
222,alofi,-19.0595,-169.9187,23.94,78,75,7.2,NU,1729709585
223,biltine,14.5333,20.9167,31.49,18,46,3.4,TD,1729709586
224,gaspe,48.8334,-64.4819,19.12,55,20,5.66,CA,1729709299
225,ulan-ude,51.8261,107.6098,-3.06,86,100,1.0,RU,1729709590
226,kalymnos,36.95,26.9833,18.74,68,0,4.12,GR,1729709591
227,eseka,3.65,10.7667,23.12,99,91,1.23,CM,1729709592
228,alenquer,-1.9417,-54.7383,37.55,32,100,3.54,BR,1729709593
229,maragogi,-9.0122,-35.2225,27.09,64,55,4.73,BR,1729709594
230,patnanungan,14.7833,122.1833,26.9,85,100,11.26,PH,1729709595
231,kismayo,-0.3582,42.5454,26.23,76,5,6.51,SO,1729709597
232,quellon,-43.1167,-73.6167,14.61,71,21,2.21,CL,1729709598
233,san patricio,28.017,-97.5169,29.97,40,0,3.49,US,1729709599
234,richards bay,-28.783,32.0377,20.2,83,98,6.5,ZA,1729709600
235,dolbeau-mistassini,48.8763,-72.212,18.26,51,100,7.62,CA,1729709601
236,ibotirama,-12.1853,-43.2206,35.44,24,6,1.7,BR,1729709525
237,quiberon,47.4841,-3.1196,14.0,79,0,7.44,FR,1729709603
238,bislig,8.2167,126.2833,23.99,83,96,1.98,PH,1729709604
239,bryne,58.7354,5.6477,11.24,90,75,3.6,NO,1729709605
240,tadine,-21.55,167.8833,22.31,84,13,5.78,NC,1729709607
241,bayanhongor,46.7167,100.1167,-6.86,81,50,1.77,MN,1729709608
242,tolanaro,-25.0319,46.9987,22.04,94,40,9.77,MG,1729709609
243,nadi,-17.8,177.4167,22.0,83,100,2.06,FJ,1729709610
244,alice springs,-23.7,133.8833,21.75,37,16,2.57,AU,1729709611
245,sanshui,23.1549,112.8916,17.2,65,100,3.45,CN,1729709612
246,buzuluk,52.7807,52.2635,9.53,88,100,3.58,RU,1729709613
247,guariba,-21.36,-48.2283,28.64,55,100,2.7,BR,1729709403
248,zaozersk,69.4005,32.4476,2.22,89,6,2.87,RU,1729709616
249,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,70,20,2.57,BR,1729709595
250,belyy yar,53.6039,91.3903,1.94,93,40,1.0,RU,1729709618
251,salinopolis,-0.6136,-47.3561,27.97,71,78,6.7,BR,1729709619
252,beatrice,40.2681,-96.747,17.05,39,0,3.09,US,1729709607
253,fukuecho,32.6881,128.8419,19.92,65,95,6.46,JP,1729709621
254,sisimiut,66.9395,-53.6735,-1.87,82,100,5.28,GL,1729709622
255,fada,7.25,4.0667,28.37,78,20,1.03,NG,1729709623
256,warrnambool,-38.3833,142.4833,10.03,72,44,5.93,AU,1729709624
257,laranjeiras do sul,-25.4078,-52.4161,28.12,58,0,2.35,BR,1729709626
258,gotsucho,35.0,132.2167,16.17,75,100,1.26,JP,1729709627
259,hadibu,12.65,54.0333,27.07,83,64,0.15,YE,1729709628
260,durango,24.8333,-104.8333,24.15,31,0,4.72,MX,1729709629
261,umm kaddadah,13.6017,26.6876,32.26,18,3,5.84,SD,1729709630
262,enewetak,11.3474,162.3373,28.39,80,100,5.74,MH,1729709631
263,kuching,1.55,110.3333,26.12,92,20,1.54,MY,1729709632
264,aasiaat,68.7098,-52.8699,-4.65,91,96,3.61,GL,1729709634
265,nizhnyaya tavda,57.6731,66.1725,6.6,92,100,4.11,RU,1729709635
266,constantia,44.1833,28.65,10.39,54,43,3.96,RO,1729709636
267,sur,22.5667,59.5289,27.61,74,2,3.03,OM,1729709637
268,igrim,63.1906,64.4162,1.6,99,100,0.17,RU,1729709638
269,tura,25.5198,90.2201,21.86,96,100,1.46,IN,1729709639
270,kaliganj,23.4095,89.1402,24.31,93,100,3.93,BD,1729709640
271,st. john's,47.5649,-52.7093,13.66,57,40,12.86,CA,1729709461
272,el calafate,-50.3408,-72.2768,11.96,60,100,3.77,AR,1729709343
273,santa elena de uairen,4.6167,-61.1333,30.33,31,100,3.54,VE,1729709644
274,hluti,-27.2167,31.6167,17.85,80,97,1.15,SZ,1729709645
275,afaahiti,-17.75,-149.2833,24.93,86,100,7.75,PF,1729709646
276,al wajh,26.2455,36.4525,27.97,47,0,3.6,SA,1729709647
277,fale old settlement,-9.3852,-171.2468,28.75,72,28,8.35,TK,1729709649
278,kaga bandoro,6.9896,19.1874,23.56,91,87,1.46,CF,1729709650
279,lospalos,-8.5186,127.0025,22.47,78,0,0.51,TL,1729709651
280,bonthe,7.5264,-12.505,26.04,86,65,3.6,SL,1729709652
281,senador jose porfirio,-2.5908,-51.9542,34.35,39,98,1.57,BR,1729709653
282,vadso,70.0744,29.7487,2.09,93,75,5.14,NO,1729709654
283,berdsk,54.7551,83.0967,5.57,89,100,4.47,RU,1729709655
284,songling,31.1933,120.7176,13.25,77,0,2.14,CN,1729709658
285,malango,-2.9627,119.9001,18.05,96,100,1.34,ID,1729709659
286,saint-philippe,-21.3585,55.7679,22.11,83,36,5.74,RE,1729709660
287,tayaman,13.2295,120.5726,24.37,97,100,15.14,PH,1729709661
288,kashima-shi,35.9654,140.6447,21.05,92,97,2.69,JP,1729709662
289,hengyang,26.8881,112.615,13.51,65,4,1.47,CN,1729709498
290,pisco,-13.7,-76.2167,21.68,77,0,4.63,PE,1729709664
291,kapuskasing,49.4169,-82.4331,3.05,81,100,5.66,CA,1729709665
292,dahab,28.501,34.5134,24.15,28,0,5.69,EG,1729709666
293,nizhnyaya poyma,56.1622,97.1933,-5.34,87,100,1.25,RU,1729709668
294,ghat,24.9647,10.1728,29.54,16,1,2.62,LY,1729709669
295,mahajanga,-15.7167,46.3167,28.01,65,40,1.03,MG,1729709585
296,itoman,26.1247,127.6694,25.01,94,75,5.14,JP,1729709671
297,al kharj,24.155,47.3346,30.32,25,2,4.44,SA,1729709672
298,talara,-4.5772,-81.2719,24.42,69,0,8.75,PE,1729709673
299,mahalapye,-23.1041,26.8142,27.56,16,0,3.14,BW,1729709674
300,jaito,30.4667,74.8833,22.58,33,0,1.73,IN,1729709675
301,agua prieta,31.3,-109.5667,28.44,17,0,2.06,MX,1729709677
302,papao,-17.75,-149.55,28.82,81,100,7.69,PF,1729709678
303,val-d'or,48.1002,-77.7828,6.05,93,100,4.63,CA,1729709679
304,ebaye,8.7748,167.7392,28.01,83,40,4.22,MH,1729709496
305,crane,31.3974,-102.3501,31.5,29,1,4.89,US,1729709681
306,manaure,11.7751,-72.4445,30.07,70,82,5.59,CO,1729709682
307,qeshm,26.9581,56.2719,29.03,78,0,4.28,IR,1729709683
308,margate,51.3813,1.3862,11.5,88,6,3.17,GB,1729709684
309,mukalla,14.5425,49.1242,27.01,82,12,3.14,YE,1729709685
310,forster,-32.1667,152.5167,15.77,100,100,1.79,AU,1729709687
311,mili,6.0815,171.735,28.44,76,100,6.54,MH,1729709688
312,tchintabaraden,15.8969,5.7985,35.64,17,41,4.32,NE,1729709689
313,waitara,-38.925,174.25,13.33,79,0,5.16,NZ,1729709690
314,susuman,62.7833,148.1667,-24.35,100,100,0.18,RU,1729709692
315,kapa'a,22.0752,-159.319,26.18,91,40,1.54,US,1729709695
316,nikolayevsk-on-amure,53.1406,140.73,1.66,97,100,5.89,RU,1729709696
317,illizi,26.4833,8.4667,27.25,30,0,2.8,DZ,1729709697
318,hamilton,39.1834,-84.5333,26.22,47,0,5.14,US,1729709618
319,kuusamo,65.9667,29.1833,5.02,81,100,4.12,FI,1729709699
320,aykhal,66.0,111.5,-16.26,99,99,1.46,RU,1729709700
321,prince rupert,54.3161,-130.3201,7.83,92,100,12.35,CA,1729709701
322,mogadishu,2.0371,45.3438,26.11,89,14,6.96,SO,1729709703
323,santa cruz,-17.8,-63.1667,33.03,58,40,9.26,BO,1729709509
324,jeremie,18.65,-74.1167,29.0,78,99,1.8,HT,1729709705
325,maun,-19.9833,23.4167,28.86,10,0,3.53,BW,1729709707
326,terrace,54.5163,-128.6035,5.95,93,100,5.14,CA,1729709708
327,howard springs,-12.497,131.047,26.95,95,100,2.22,AU,1729709709
328,geraldton,-28.7667,114.6,12.23,87,0,4.12,AU,1729709711
329,port saint john's,-31.6229,29.5448,18.24,89,37,4.35,ZA,1729709712
330,mugia,43.1041,-9.2179,16.62,75,0,3.46,ES,1729709713
331,keren,15.7778,38.4581,22.92,71,100,2.14,ER,1729709714
332,harstad,68.799,16.5293,6.75,97,100,8.05,NO,1729709715
333,tanjung selor,2.8372,117.3642,23.82,90,100,1.46,ID,1729709716
334,ixtapa,20.7,-105.2,31.24,76,81,1.79,MX,1729709693
335,benguela,-12.5763,13.4055,24.09,79,70,1.37,AO,1729709718
336,quillacollo,-17.4,-66.2833,27.04,26,75,3.09,BO,1729709721
337,shimanovsk,52.0,127.7,-5.59,63,86,1.43,RU,1729709722
338,babugarh,28.7167,77.85,22.92,38,0,2.68,IN,1729709723
339,bartica,6.4,-58.6167,32.56,52,100,2.12,GY,1729709707
340,tazovsky,67.4667,78.7,-15.06,91,99,5.0,RU,1729709725
341,tsengel,49.4783,100.8894,-0.21,92,95,2.61,MN,1729709726
342,el porvenir,13.7617,-87.3458,30.61,64,84,0.93,HN,1729709727
343,altai,46.3722,96.2583,4.27,53,25,4.18,MN,1729709728
344,shasta lake,40.6804,-122.3708,21.64,43,100,0.27,US,1729709466
345,fuglafjordur,62.244,-6.814,10.95,92,100,11.88,FO,1729709731
346,tanjay,9.5153,123.1583,26.01,75,100,7.96,PH,1729709732
347,merizo village,13.2658,144.6691,27.77,82,100,6.95,GU,1729709733
348,gorontalo,0.5412,123.0595,23.44,92,49,0.62,ID,1729709504
349,selfoss,63.9331,-20.9971,5.58,97,100,1.7,IS,1729709735
350,qamdo,31.1667,97.2333,1.73,48,5,0.17,CN,1729709736
351,nagqu,31.5,92.0,-2.36,73,64,1.17,CN,1729709737
352,alaghsas,17.0187,8.0168,33.94,14,0,6.17,NE,1729709619
353,nizhneangarsk,55.7833,109.55,-6.03,77,73,2.06,RU,1729709740
354,sirsilla,18.3833,78.8333,22.89,74,97,1.82,IN,1729709741
355,la passe,45.5549,-0.8967,14.92,79,0,3.59,FR,1729709743
